dataset,method,fl_algo,head_train_mode,adapter_bottleneck,trainable_scope,evaluation_protocol,backbone_pretrained,backbone_frozen,task_id_known_at_inference,num_clients,alpha,replay,replay_per_class,mu,n_seeds,final_accuracy,final_accuracy_ci95,final_forgetting,final_forgetting_ci95,final_bwt,final_bwt_ci95,final_fwt,final_fwt_ci95,peak_drop,peak_drop_ci95,plasticity,plasticity_ci95,stability,stability_ci95,stability_peak,stability_peak_ci95,plasticity_stability_hmean,plasticity_stability_hmean_ci95,plasticity_stability_peak_hmean,plasticity_stability_peak_hmean_ci95,client_mean_acc,client_mean_acc_ci95,client_acc_std,client_acc_std_ci95,client_worst_acc,client_worst_acc_ci95,client_best_acc,client_best_acc_ci95,acc_per_comm_mb,acc_per_comm_mb_ci95,communication_mb,communication_mb_ci95,runtime_min,runtime_min_ci95,avg_power_w,avg_power_w_ci95,peak_power_w,peak_power_w_ci95,energy_j,energy_j_ci95,avg_cpu_util,avg_cpu_util_ci95,avg_gpu_util,avg_gpu_util_ci95,peak_ram_mb,peak_ram_mb_ci95
cifar100,TASK_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,0.7000,False,20,0.0000,6,0.1003 ± 0.0008,"0.1003 ± 0.0008 [95% CI: 0.0997, 0.1009]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",-0.0919 ± 0.0072,"-0.0919 ± 0.0072 [95% CI: -0.0977, -0.0862]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.1003 ± 0.0008,"0.1003 ± 0.0008 [95% CI: 0.0997, 0.1009]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",0.1824 ± 0.0013,"0.1824 ± 0.0013 [95% CI: 0.1814, 0.1834]",0.1824 ± 0.0013,"0.1824 ± 0.0013 [95% CI: 0.1814, 0.1834]",0.3842 ± 0.0040,"0.3842 ± 0.0040 [95% CI: 0.3810, 0.3874]",0.0292 ± 0.0083,"0.0292 ± 0.0083 [95% CI: 0.0226, 0.0358]",0.3393 ± 0.0139,"0.3393 ± 0.0139 [95% CI: 0.3282, 0.3504]",0.4275 ± 0.0101,"0.4275 ± 0.0101 [95% CI: 0.4194, 0.4356]",0.0004 ± 0.0000,"0.0004 ± 0.0000 [95% CI: 0.0004, 0.0004]",260.21,"[95% CI: 260.21, 260.21]",20.17,"[95% CI: 20.07, 20.27]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,TASK_ADAPTER,FEDAVG,current,32,NA,NA,False,False,True,10,0.7000,False,20,0.0000,6,0.1062 ± 0.0030,"0.1062 ± 0.0030 [95% CI: 0.1038, 0.1087]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",-0.0934 ± 0.0102,"-0.0934 ± 0.0102 [95% CI: -0.1015, -0.0852]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.1062 ± 0.0030,"0.1062 ± 0.0030 [95% CI: 0.1038, 0.1087]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",0.1921 ± 0.0050,"0.1921 ± 0.0050 [95% CI: 0.1881, 0.1960]",0.1921 ± 0.0050,"0.1921 ± 0.0050 [95% CI: 0.1881, 0.1960]",0.3687 ± 0.0084,"0.3687 ± 0.0084 [95% CI: 0.3620, 0.3754]",0.0220 ± 0.0039,"0.0220 ± 0.0039 [95% CI: 0.0189, 0.0251]",0.3359 ± 0.0178,"0.3359 ± 0.0178 [95% CI: 0.3217, 0.3502]",0.4126 ± 0.0036,"0.4126 ± 0.0036 [95% CI: 0.4098, 0.4155]",0.0003 ± 0.0000,"0.0003 ± 0.0000 [95% CI: 0.0003, 0.0003]",322.77,"[95% CI: 322.77, 322.77]",20.26,"[95% CI: 20.22, 20.31]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,TRUE_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,NA,False,0,0.0000,3,0.3710 ± 0.0051,"0.3710 ± 0.0051 [95% CI: 0.3653, 0.3767]",0.3208 ± 0.0096,"0.3208 ± 0.0096 [95% CI: 0.3100, 0.3317]",NaN,NaN,NaN,NaN,NaN,NaN,0.3710 ± 0.0051,"0.3710 ± 0.0051 [95% CI: 0.3653, 0.3767]",0.6792 ± 0.0096,"0.6792 ± 0.0096 [95% CI: 0.6683, 0.6900]",NaN,NaN,0.4798 ± 0.0052,"0.4798 ± 0.0052 [95% CI: 0.4740, 0.4857]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",42838.18,"[95% CI: 42838.18, 42838.18]",31.76,"[95% CI: 31.74, 31.79]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,TRUE_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,0.1000,False,20,0.0000,3,0.1562 ± 0.0043,"0.1562 ± 0.0043 [95% CI: 0.1513, 0.1611]",0.1454 ± 0.0056,"0.1454 ± 0.0056 [95% CI: 0.1391, 0.1517]",-0.1308 ± 0.0050,"-0.1308 ± 0.0050 [95% CI: -0.1365, -0.1252]",-0.0878 ± 0.0109,"-0.0878 ± 0.0109 [95% CI: -0.1002, -0.0755]",0.1308 ± 0.0050,"0.1308 ± 0.0050 [95% CI: 0.1252, 0.1365]",0.1562 ± 0.0043,"0.1562 ± 0.0043 [95% CI: 0.1513, 0.1611]",0.8546 ± 0.0056,"0.8546 ± 0.0056 [95% CI: 0.8483, 0.8609]",0.8692 ± 0.0050,"0.8692 ± 0.0050 [95% CI: 0.8635, 0.8748]",0.2641 ± 0.0064,"0.2641 ± 0.0064 [95% CI: 0.2569, 0.2713]",0.2648 ± 0.0064,"0.2648 ± 0.0064 [95% CI: 0.2576, 0.2720]",0.5391 ± 0.0132,"0.5391 ± 0.0132 [95% CI: 0.5242, 0.5540]",0.0680 ± 0.0145,"0.0680 ± 0.0145 [95% CI: 0.0516, 0.0844]",0.4254 ± 0.0275,"0.4254 ± 0.0275 [95% CI: 0.3942, 0.4565]",0.6745 ± 0.0653,"0.6745 ± 0.0653 [95% CI: 0.6007, 0.7484]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",42838.18,"[95% CI: 42838.18, 42838.18]",33.31,"[95% CI: 33.22, 33.41]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,TRUE_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,0.5000,False,0,0.0000,6,0.3048 ± 0.0262,"0.3048 ± 0.0262 [95% CI: 0.2838, 0.3258]",0.2842 ± 0.0333,"0.2842 ± 0.0333 [95% CI: 0.2575, 0.3109]",NaN,NaN,NaN,NaN,NaN,NaN,0.3048 ± 0.0262,"0.3048 ± 0.0262 [95% CI: 0.2838, 0.3258]",0.7158 ± 0.0333,"0.7158 ± 0.0333 [95% CI: 0.6891, 0.7425]",NaN,NaN,0.4274 ± 0.0316,"0.4274 ± 0.0316 [95% CI: 0.4021, 0.4527]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",42838.18,"[95% CI: 42838.18, 42838.18]",18.86,"[95% CI: 18.82, 18.90]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,TRUE_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,0.7000,False,20,0.0000,6,0.3578 ± 0.0300,"0.3578 ± 0.0300 [95% CI: 0.3338, 0.3818]",0.3171 ± 0.0318,"0.3171 ± 0.0318 [95% CI: 0.2916, 0.3425]",-0.2854 ± 0.0286,"-0.2854 ± 0.0286 [95% CI: -0.3083, -0.2624]",-0.0867 ± 0.0073,"-0.0867 ± 0.0073 [95% CI: -0.0926, -0.0809]",0.2854 ± 0.0286,"0.2854 ± 0.0286 [95% CI: 0.2624, 0.3083]",0.3578 ± 0.0300,"0.3578 ± 0.0300 [95% CI: 0.3338, 0.3818]",0.6829 ± 0.0318,"0.6829 ± 0.0318 [95% CI: 0.6575, 0.7084]",0.7146 ± 0.0286,"0.7146 ± 0.0286 [95% CI: 0.6917, 0.7376]",0.4694 ± 0.0334,"0.4694 ± 0.0334 [95% CI: 0.4427, 0.4962]",0.4767 ± 0.0331,"0.4767 ± 0.0331 [95% CI: 0.4502, 0.5032]",0.4487 ± 0.0222,"0.4487 ± 0.0222 [95% CI: 0.4310, 0.4665]",0.0329 ± 0.0032,"0.0329 ± 0.0032 [95% CI: 0.0304, 0.0355]",0.3979 ± 0.0241,"0.3979 ± 0.0241 [95% CI: 0.3787, 0.4172]",0.5077 ± 0.0247,"0.5077 ± 0.0247 [95% CI: 0.4879, 0.5275]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",42838.18,"[95% CI: 42838.18, 42838.18]",33.29,"[95% CI: 33.24, 33.34]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,TRUE_FEDAVG,JOINT_ONLY,current,16,NA,NA,False,False,True,2,0.7000,False,20,0.0000,3,0.2352 ± 0.0364,"0.2352 ± 0.0364 [95% CI: 0.1939, 0.2764]",0.1863 ± 0.0427,"0.1863 ± 0.0427 [95% CI: 0.1380, 0.2347]",-0.0932 ± 0.0214,"-0.0932 ± 0.0214 [95% CI: -0.1173, -0.0690]",-0.1000 ± 0.0000,"-0.1000 ± 0.0000 [95% CI: -0.1000, -0.1000]",0.0932 ± 0.0214,"0.0932 ± 0.0214 [95% CI: 0.0690, 0.1173]",0.2352 ± 0.0364,"0.2352 ± 0.0364 [95% CI: 0.1939, 0.2764]",0.8137 ± 0.0427,"0.8137 ± 0.0427 [95% CI: 0.7653, 0.8620]",0.9068 ± 0.0214,"0.9068 ± 0.0214 [95% CI: 0.8827, 0.9310]",0.3642 ± 0.0462,"0.3642 ± 0.0462 [95% CI: 0.3119, 0.4165]",0.3727 ± 0.0467,"0.3727 ± 0.0467 [95% CI: 0.3199, 0.4255]",0.2229 ± 0.0517,"0.2229 ± 0.0517 [95% CI: 0.1644, 0.2814]",0.0979 ± 0.0332,"0.0979 ± 0.0332 [95% CI: 0.0604, 0.1354]",0.1250 ± 0.0722,"0.1250 ± 0.0722 [95% CI: 0.0433, 0.2067]",0.3208 ± 0.0483,"0.3208 ± 0.0483 [95% CI: 0.2662, 0.3754]",NaN,NaN,0.00,"[95% CI: 0.00, 0.00]",0.61,"[95% CI: 0.56, 0.67]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,TRUE_FEDAVG,JOINT_ONLY,current,16,NA,NA,False,False,True,10,0.7000,False,20,0.0000,3,0.2141 ± 0.0401,"0.2141 ± 0.0401 [95% CI: 0.1687, 0.2595]",0.3349 ± 0.0205,"0.3349 ± 0.0205 [95% CI: 0.3117, 0.3581]",-0.3014 ± 0.0185,"-0.3014 ± 0.0185 [95% CI: -0.3223, -0.2805]",-0.0907 ± 0.0074,"-0.0907 ± 0.0074 [95% CI: -0.0991, -0.0823]",0.3014 ± 0.0185,"0.3014 ± 0.0185 [95% CI: 0.2805, 0.3223]",0.2141 ± 0.0401,"0.2141 ± 0.0401 [95% CI: 0.1687, 0.2595]",0.6651 ± 0.0205,"0.6651 ± 0.0205 [95% CI: 0.6419, 0.6883]",0.6986 ± 0.0185,"0.6986 ± 0.0185 [95% CI: 0.6777, 0.7195]",0.3229 ± 0.0491,"0.3229 ± 0.0491 [95% CI: 0.2673, 0.3785]",0.3267 ± 0.0499,"0.3267 ± 0.0499 [95% CI: 0.2703, 0.3831]",0.2184 ± 0.0424,"0.2184 ± 0.0424 [95% CI: 0.1705, 0.2664]",0.0556 ± 0.0106,"0.0556 ± 0.0106 [95% CI: 0.0437, 0.0676]",0.1401 ± 0.0384,"0.1401 ± 0.0384 [95% CI: 0.0966, 0.1836]",0.3537 ± 0.0158,"0.3537 ± 0.0158 [95% CI: 0.3359, 0.3716]",NaN,NaN,0.00,"[95% CI: 0.00, 0.00]",33.04,"[95% CI: 33.00, 33.08]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
digit5,FULL_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,NA,False,0,0.0000,3,0.1268 ± 0.0097,"0.1268 ± 0.0097 [95% CI: 0.1159, 0.1378]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",NaN,NaN,NaN,NaN,NaN,NaN,0.1268 ± 0.0097,"0.1268 ± 0.0097 [95% CI: 0.1159, 0.1378]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",NaN,NaN,0.2251 ± 0.0152,"0.2251 ± 0.0152 [95% CI: 0.2079, 0.2422]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0130 ± 0.0010,"0.0130 ± 0.0010 [95% CI: 0.0118, 0.0141]",9.78,"[95% CI: 9.78, 9.78]",63.84,"[95% CI: 63.69, 63.98]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
digit5,FULL_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,0.7000,False,0,0.0000,6,0.1222 ± 0.0072,"0.1222 ± 0.0072 [95% CI: 0.1165, 0.1280]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",NaN,NaN,NaN,NaN,NaN,NaN,0.1222 ± 0.0072,"0.1222 ± 0.0072 [95% CI: 0.1165, 0.1280]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",NaN,NaN,0.2178 ± 0.0114,"0.2178 ± 0.0114 [95% CI: 0.2086, 0.2269]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0125 ± 0.0007,"0.0125 ± 0.0007 [95% CI: 0.0119, 0.0131]",9.78,"[95% CI: 9.78, 9.78]",41.12,"[95% CI: 41.02, 41.22]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
digit5,FULL_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,0.7000,False,20,0.0000,3,0.1202 ± 0.0107,"0.1202 ± 0.0107 [95% CI: 0.1080, 0.1323]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.0042 ± 0.0150,"0.0042 ± 0.0150 [95% CI: -0.0127, 0.0212]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.1202 ± 0.0107,"0.1202 ± 0.0107 [95% CI: 0.1080, 0.1323]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",0.2144 ± 0.0170,"0.2144 ± 0.0170 [95% CI: 0.1952, 0.2337]",0.2144 ± 0.0170,"0.2144 ± 0.0170 [95% CI: 0.1952, 0.2337]",0.3105 ± 0.0119,"0.3105 ± 0.0119 [95% CI: 0.2971, 0.3240]",0.0561 ± 0.0204,"0.0561 ± 0.0204 [95% CI: 0.0329, 0.0792]",0.2257 ± 0.0137,"0.2257 ± 0.0137 [95% CI: 0.2102, 0.2412]",0.4170 ± 0.0771,"0.4170 ± 0.0771 [95% CI: 0.3298, 0.5043]",0.0123 ± 0.0011,"0.0123 ± 0.0011 [95% CI: 0.0110, 0.0135]",9.78,"[95% CI: 9.78, 9.78]",71.30,"[95% CI: 70.71, 71.89]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
digit5,SHARED_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,NA,False,0,0.0000,3,0.1182 ± 0.0013,"0.1182 ± 0.0013 [95% CI: 0.1167, 0.1197]",0.0167 ± 0.0063,"0.0167 ± 0.0063 [95% CI: 0.0097, 0.0238]",NaN,NaN,NaN,NaN,NaN,NaN,0.1182 ± 0.0013,"0.1182 ± 0.0013 [95% CI: 0.1167, 0.1197]",0.9833 ± 0.0063,"0.9833 ± 0.0063 [95% CI: 0.9762, 0.9903]",NaN,NaN,0.2110 ± 0.0020,"0.2110 ± 0.0020 [95% CI: 0.2087, 0.2133]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0028 ± 0.0000,"0.0028 ± 0.0000 [95% CI: 0.0028, 0.0028]",42.04,"[95% CI: 42.04, 42.04]",64.05,"[95% CI: 63.86, 64.24]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
digit5,SHARED_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,0.7000,False,0,0.0000,6,0.1118 ± 0.0046,"0.1118 ± 0.0046 [95% CI: 0.1081, 0.1155]",0.0130 ± 0.0120,"0.0130 ± 0.0120 [95% CI: 0.0034, 0.0226]",NaN,NaN,NaN,NaN,NaN,NaN,0.1118 ± 0.0046,"0.1118 ± 0.0046 [95% CI: 0.1081, 0.1155]",0.9870 ± 0.0120,"0.9870 ± 0.0120 [95% CI: 0.9774, 0.9966]",NaN,NaN,0.2009 ± 0.0077,"0.2009 ± 0.0077 [95% CI: 0.1947, 0.2070]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0027 ± 0.0001,"0.0027 ± 0.0001 [95% CI: 0.0026, 0.0027]",42.04,"[95% CI: 42.04, 42.04]",41.30,"[95% CI: 41.17, 41.42]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
digit5,SHARED_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,0.7000,False,20,0.0000,3,0.1233 ± 0.0072,"0.1233 ± 0.0072 [95% CI: 0.1151, 0.1315]",0.0043 ± 0.0039,"0.0043 ± 0.0039 [95% CI: -0.0001, 0.0086]",-0.0034 ± 0.0031,"-0.0034 ± 0.0031 [95% CI: -0.0069, 0.0001]",0.0139 ± 0.0133,"0.0139 ± 0.0133 [95% CI: -0.0011, 0.0290]",0.0034 ± 0.0031,"0.0034 ± 0.0031 [95% CI: -0.0001, 0.0069]",0.1233 ± 0.0072,"0.1233 ± 0.0072 [95% CI: 0.1151, 0.1315]",0.9957 ± 0.0039,"0.9957 ± 0.0039 [95% CI: 0.9914, 1.0001]",0.9966 ± 0.0031,"0.9966 ± 0.0031 [95% CI: 0.9931, 1.0001]",0.2194 ± 0.0114,"0.2194 ± 0.0114 [95% CI: 0.2065, 0.2322]",0.2194 ± 0.0114,"0.2194 ± 0.0114 [95% CI: 0.2065, 0.2323]",0.3066 ± 0.0152,"0.3066 ± 0.0152 [95% CI: 0.2894, 0.3238]",0.0466 ± 0.0078,"0.0466 ± 0.0078 [95% CI: 0.0378, 0.0555]",0.2360 ± 0.0301,"0.2360 ± 0.0301 [95% CI: 0.2020, 0.2701]",0.3803 ± 0.0370,"0.3803 ± 0.0370 [95% CI: 0.3384, 0.4222]",0.0029 ± 0.0002,"0.0029 ± 0.0002 [95% CI: 0.0027, 0.0031]",42.04,"[95% CI: 42.04, 42.04]",71.94,"[95% CI: 71.73, 72.16]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
digit5,SHARED_ADAPTER,SCAFFOLD,current,16,NA,NA,False,False,True,2,0.7000,True,20,0.0000,3,0.0983 ± 0.0203,"0.0983 ± 0.0203 [95% CI: 0.0753, 0.1212]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.0412 ± 0.0596,"0.0412 ± 0.0596 [95% CI: -0.0263, 0.1086]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.0983 ± 0.0203,"0.0983 ± 0.0203 [95% CI: 0.0753, 0.1212]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",0.1785 ± 0.0333,"0.1785 ± 0.0333 [95% CI: 0.1409, 0.2162]",0.1785 ± 0.0333,"0.1785 ± 0.0333 [95% CI: 0.1409, 0.2162]",0.1656 ± 0.0289,"0.1656 ± 0.0289 [95% CI: 0.1329, 0.1983]",0.0173 ± 0.0194,"0.0173 ± 0.0194 [95% CI: -0.0047, 0.0392]",0.1483 ± 0.0474,"0.1483 ± 0.0474 [95% CI: 0.0947, 0.2020]",0.1829 ± 0.0134,"0.1829 ± 0.0134 [95% CI: 0.1677, 0.1980]",0.1461 ± 0.0301,"0.1461 ± 0.0301 [95% CI: 0.1120, 0.1802]",0.67,"[95% CI: 0.67, 0.67]",6.02,"[95% CI: 5.98, 6.07]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
digit5,TASK_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,NA,False,0,0.0000,3,0.1266 ± 0.0102,"0.1266 ± 0.0102 [95% CI: 0.1151, 0.1381]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",NaN,NaN,NaN,NaN,NaN,NaN,0.1266 ± 0.0102,"0.1266 ± 0.0102 [95% CI: 0.1151, 0.1381]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",NaN,NaN,0.2247 ± 0.0160,"0.2247 ± 0.0160 [95% CI: 0.2065, 0.2428]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0030 ± 0.0002,"0.0030 ± 0.0002 [95% CI: 0.0027, 0.0033]",42.04,"[95% CI: 42.04, 42.04]",64.12,"[95% CI: 64.04, 64.19]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
digit5,TASK_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,0.7000,False,0,0.0000,6,0.1244 ± 0.0019,"0.1244 ± 0.0019 [95% CI: 0.1228, 0.1259]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",NaN,NaN,NaN,NaN,NaN,NaN,0.1244 ± 0.0019,"0.1244 ± 0.0019 [95% CI: 0.1228, 0.1259]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",NaN,NaN,0.2212 ± 0.0030,"0.2212 ± 0.0030 [95% CI: 0.2188, 0.2237]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0030 ± 0.0000,"0.0030 ± 0.0000 [95% CI: 0.0029, 0.0030]",42.04,"[95% CI: 42.04, 42.04]",41.36,"[95% CI: 41.22, 41.50]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
digit5,TASK_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,0.7000,False,20,0.0000,3,0.1190 ± 0.0146,"0.1190 ± 0.0146 [95% CI: 0.1025, 0.1355]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",-0.0033 ± 0.0020,"-0.0033 ± 0.0020 [95% CI: -0.0056, -0.0011]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.1190 ± 0.0146,"0.1190 ± 0.0146 [95% CI: 0.1025, 0.1355]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",0.2125 ± 0.0234,"0.2125 ± 0.0234 [95% CI: 0.1860, 0.2389]",0.2125 ± 0.0234,"0.2125 ± 0.0234 [95% CI: 0.1860, 0.2389]",0.3132 ± 0.0198,"0.3132 ± 0.0198 [95% CI: 0.2907, 0.3356]",0.0456 ± 0.0143,"0.0456 ± 0.0143 [95% CI: 0.0294, 0.0618]",0.2476 ± 0.0382,"0.2476 ± 0.0382 [95% CI: 0.2044, 0.2907]",0.3961 ± 0.0196,"0.3961 ± 0.0196 [95% CI: 0.3739, 0.4183]",0.0028 ± 0.0003,"0.0028 ± 0.0003 [95% CI: 0.0024, 0.0032]",42.04,"[95% CI: 42.04, 42.04]",71.72,"[95% CI: 71.44, 72.01]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
digit5,TRUE_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,NA,False,0,0.0000,3,0.8411 ± 0.0094,"0.8411 ± 0.0094 [95% CI: 0.8304, 0.8518]",0.1631 ± 0.0136,"0.1631 ± 0.0136 [95% CI: 0.1477, 0.1785]",NaN,NaN,NaN,NaN,NaN,NaN,0.8411 ± 0.0094,"0.8411 ± 0.0094 [95% CI: 0.8304, 0.8518]",0.8369 ± 0.0136,"0.8369 ± 0.0136 [95% CI: 0.8215, 0.8523]",NaN,NaN,0.8390 ± 0.0115,"0.8390 ± 0.0115 [95% CI: 0.8260, 0.8521]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",21331.03,"[95% CI: 21331.03, 21331.03]",127.98,"[95% CI: 127.79, 128.17]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
digit5,TRUE_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,0.7000,False,0,0.0000,6,0.7932 ± 0.0217,"0.7932 ± 0.0217 [95% CI: 0.7758, 0.8106]",0.2065 ± 0.0243,"0.2065 ± 0.0243 [95% CI: 0.1871, 0.2259]",NaN,NaN,NaN,NaN,NaN,NaN,0.7932 ± 0.0217,"0.7932 ± 0.0217 [95% CI: 0.7758, 0.8106]",0.7935 ± 0.0243,"0.7935 ± 0.0243 [95% CI: 0.7741, 0.8129]",NaN,NaN,0.7933 ± 0.0230,"0.7933 ± 0.0230 [95% CI: 0.7750, 0.8117]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",21331.03,"[95% CI: 21331.03, 21331.03]",82.68,"[95% CI: 66.47, 98.89]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
